Date ,Open ,High,Low,Last,Close
08-Sep-22,"1,420.95","1,451.90","1,406.15","1,401.55","1,420.65"
07-Sep-22,"1,315.00","1,438.00","1,311.00","1,324.50","1,401.55"
06-Sep-22,"1,309.80","1,341.90","1,297.00","1,295.10","1,324.50"
05-Sep-22,"1,252.00","1,305.00","1,241.00","1,248.50","1,295.10"
02-Sep-22,"1,272.00","1,272.90","1,245.00","1,262.90","1,248.50"
01-Sep-22,"1,243.00","1,277.70","1,238.10","1,248.90","1,262.90"
30-Aug-22,"1,194.55","1,283.50","1,194.55","1,187.40","1,248.90"
29-Aug-22,"1,155.00","1,201.00","1,155.00","1,190.90","1,187.40"
26-Aug-22,"1,199.00","1,209.00","1,186.30","1,192.90","1,190.90"
25-Aug-22,"1,201.00","1,210.15","1,188.25","1,192.75","1,192.90"
24-Aug-22,"1,204.60","1,212.75","1,182.80","1,201.60","1,192.75"
23-Aug-22,"1,169.85","1,214.80","1,160.00","1,179.15","1,201.60"
22-Aug-22,"1,205.00","1,205.10","1,175.10","1,215.10","1,179.15"
19-Aug-22,"1,238.90","1,244.20","1,197.15","1,237.30","1,215.10"
18-Aug-22,"1,225.35","1,240.00","1,213.00","1,225.30","1,237.30"
17-Aug-22,"1,229.00","1,244.00","1,222.20","1,223.85","1,225.30"
16-Aug-22,"1,216.20","1,234.15","1,207.00","1,204.15","1,223.85"
12-Aug-22,"1,162.85","1,216.60","1,152.95","1,162.85","1,204.15"
11-Aug-22,"1,178.70","1,178.70","1,160.05","1,160.95","1,162.85"
10-Aug-22,"1,171.70","1,185.85","1,153.50","1,168.95","1,160.95"
08-Aug-22,"1,153.00","1,174.90","1,137.75","1,153.15","1,168.95"
05-Aug-22,"1,143.00","1,159.55","1,125.25","1,137.20","1,153.15"
04-Aug-22,"1,164.00","1,171.00","1,125.65","1,161.10","1,137.20"
03-Aug-22,"1,183.40","1,186.20","1,153.05","1,179.45","1,161.10"
02-Aug-22,"1,165.00","1,199.90","1,152.35","1,161.60","1,179.45"
01-Aug-22,"1,107.10","1,174.70","1,100.00","1,126.95","1,161.60"
29-Jul-22,"1,128.00","1,148.00","1,116.60","1,113.35","1,126.95"
28-Jul-22,"1,129.95","1,138.15","1,108.25","1,121.75","1,113.35"
27-Jul-22,"1,131.00","1,134.55","1,118.00","1,131.30","1,121.75"
26-Jul-22,"1,133.80","1,154.20","1,125.00","1,133.80","1,131.30"
25-Jul-22,"1,143.00","1,158.00","1,132.10","1,142.65","1,133.80"
22-Jul-22,"1,133.90","1,164.50","1,132.05","1,129.35","1,142.65"
21-Jul-22,"1,126.40","1,137.90","1,121.25","1,123.65","1,129.35"
20-Jul-22,"1,120.20","1,145.75","1,115.75","1,107.85","1,123.65"
19-Jul-22,"1,107.00","1,119.35","1,100.00","1,110.00","1,107.85"
18-Jul-22,"1,100.00","1,116.95","1,100.00","1,095.35","1,110.00"
15-Jul-22,"1,103.70","1,105.85","1,084.60","1,097.45","1,095.35"
14-Jul-22,"1,113.10","1,117.95","1,096.00","1,112.45","1,097.45"
13-Jul-22,"1,130.05","1,139.20","1,110.00","1,126.05","1,112.45"
12-Jul-22,"1,107.90","1,147.65","1,104.95","1,111.70","1,126.05"
11-Jul-22,"1,109.00","1,115.35","1,101.10","1,113.75","1,111.70"
08-Jul-22,"1,125.00","1,131.80","1,107.80","1,118.35","1,113.75"
07-Jul-22,"1,106.50","1,124.00","1,101.10","1,093.10","1,118.35"
06-Jul-22,"1,093.30","1,098.90","1,083.25","1,093.45","1,093.10"
05-Jul-22,"1,112.00","1,121.35","1,090.00","1,108.80","1,093.45"
04-Jul-22,"1,103.60","1,117.70","1,103.60","1,103.50","1,108.80"
01-Jul-22,"1,111.40","1,117.70","1,096.00","1,114.40","1,103.50"
30-Jun-22,"1,105.00","1,128.85","1,104.00","1,104.30","1,114.40"
29-Jun-22,"1,102.00","1,115.25","1,095.10","1,110.10","1,104.30"
28-Jun-22,"1,111.95","1,118.70","1,102.85","1,114.35","1,110.10"
27-Jun-22,"1,132.00","1,139.00","1,113.00","1,115.45","1,114.35"
24-Jun-22,"1,090.00","1,135.00","1,087.20","1,079.05","1,115.45"
23-Jun-22,"1,086.00","1,094.35","1,071.25","1,079.15","1,079.05"
22-Jun-22,"1,094.85","1,099.00","1,075.05","1,099.80","1,079.15"
21-Jun-22,"1,097.00","1,118.40","1,090.10","1,081.65","1,099.80"
20-Jun-22,"1,108.65","1,117.70","1,066.75","1,105.40","1,081.65"
17-Jun-22,"1,108.00","1,125.40","1,087.75","1,107.50","1,105.40"
16-Jun-22,"1,146.00","1,152.05","1,100.20","1,135.95","1,107.50"
15-Jun-22,"1,139.80","1,144.30","1,126.00","1,118.00","1,135.95"
14-Jun-22,"1,084.00","1,125.40","1,080.00","1,090.50","1,118.00"
13-Jun-22,"1,087.00","1,110.00","1,076.00","1,110.55","1,090.50"
